franchise_id,team,current_team,current_mascott,division,conference,FBS,color,alt_color,logo,class,team_name
326,CASC,USC,Trojans,South,PAC-12,1,#AE2531,#ffc72c,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png,Power 5,USC
327,FLSO,South Florida,Bulls,East,AAC,1,#004A36,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/58.png,Group of 5,USF
328,UTUN,Utah,Utes,South,PAC-12,1,#890012,#7e8083,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png,Power 5,UTAH
329,UTST,Utah State,Aggies,Mountain,MWC,1,#003263,#949ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png,Group of 5,UTAH ST
330,TXEP,UTEP,Miners,West,Conference USA,1,#002843,#ff6f12,http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,Group of 5,UTEP
331,TXSN,UTSA,Roadrunners,West,Conference USA,1,#002A5C,#f47321,http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,Group of 5,UTSA
333,TNVA,Vanderbilt,Commodores,East,SEC,1,#000000,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png,Power 5,VANDERBILT
335,VAUN,Virginia,Cavaliers,Coastal,ACC,1,#00204e,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/258.png,Power 5,VIRGINIA
337,VAPI,Virginia Tech,Hokies,Coastal,ACC,1,#74232D,#c2c1ba,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png,Power 5,VA TECH
339,NCWF,Wake Forest,Demon Deacons,Atlantic,ACC,1,#9E7E38,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png,Power 5,WAKE
340,WAUN,Washington,Huskies,North,PAC-12,1,#2B2F64,#e8e3d3,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png,Power 5,WASHINGTON
341,WAST,Washington State,Cougars,North,PAC-12,1,#94022a,#6a747c,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png,Power 5,WASH STATE
343,WVUN,West Virginia,Mountaineers,NA,Big-12,1,#FFC600,#eaaa00,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png,Power 5,W VIRGINIA
346,KYWE,Western Kentucky,Hilltoppers,East,Conference USA,1,#F32026,#b3b5b8,http://a.espncdn.com/i/teamlogos/ncaa/500/98.png,Group of 5,W KENTUCKY
347,MIWE,Western Michigan,Broncos,West,MAC,1,#B59966,#bfa979,http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,Group of 5,W MICHIGAN
349,WIUN,Wisconsin,Badgers,West,Big Ten,1,#A00001,#f7f7f7,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Power 5,WISCONSIN
351,WYUN,Wyoming,Cowboys,Mountain,MWC,1,#533B22,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,Group of 5,WYOMING
